epoch,accuracy,loss,val_accuracy,val_loss
0,0.36451703,1.3304402612102286,0.43515849113464355,1.2781363533278363
1,0.6288403,0.9966758361919877,0.6628242135047913,0.9074407018914347
2,0.796568,0.5794326637446501,0.6887608170509338,0.7933776412985853
3,0.8519236,0.4032380526296128,0.7146974205970764,0.7774365518553457
4,0.88818157,0.31546620495046174,0.7118155360221863,0.7904949222586684
5,0.91253805,0.2558172966613685,0.7089337110519409,0.8549053167403603
6,0.9310822,0.21054007232997546,0.6974063515663147,0.9210614099969782
7,0.94990313,0.1739288309654502,0.7060518860816956,0.9528709055710938
8,0.9546084,0.14551391640826009,0.6916426420211792,1.0415914838527054
9,0.9629117,0.1281772451967603,0.6858789920806885,1.0812881027243666
10,0.96567947,0.11760732578977204,0.6945244669914246,1.1721968166422776
11,0.96844727,0.10291252254928343,0.6945244669914246,1.1788077330383169
12,0.9714918,0.09518334690204064,0.680115282535553,1.208885397622496
13,0.97259897,0.09150921282199423,0.6829971075057983,1.250829005103977
14,0.97259897,0.0890971055894125,0.6743515729904175,1.3065422591283617
15,0.97481316,0.07970866614552109,0.6714697480201721,1.353279915598009
16,0.9753667,0.07606053975952849,0.6743515729904175,1.3670342593783948
17,0.97481316,0.0786569880550006,0.6714697480201721,1.3892799055885512
18,0.9767506,0.0713211856297829,0.6772334575653076,1.4273670344943616
19,0.97592026,0.07380727624019039,0.6685879230499268,1.4600852738196293
20,0.97592026,0.06812644594393046,0.6657060384750366,1.5022592771293795
21,0.9778577,0.06321010965036283,0.6772334575653076,1.5311299181121913
22,0.97868806,0.0617628266850325,0.6685879230499268,1.5175099297284393
23,0.98007196,0.06120610856800372,0.6714697480201721,1.5585699328771585
24,0.9781345,0.0627068949251369,0.6628242135047913,1.5662762040020066
