epoch,categorical_accuracy,loss,precision_2,recall_2,val_categorical_accuracy,val_loss,val_precision_2,val_recall_2
0,0.49250633,1.3990210390584386,0.6944834,0.2798772,0.5087062120437622,1.3530951426871152,0.7013319134712219,0.3091239631175995
1,0.51985145,1.3242790003187122,0.7052702,0.32462537,0.5179672241210938,1.3272848564102813,0.7082358002662659,0.32532384991645813
2,0.5355885,1.2830953688824016,0.714612,0.3479411,0.5217973589897156,1.3199514032271384,0.6967167854309082,0.3472706377506256
3,0.5504238,1.2464053734762937,0.72146726,0.36962086,0.5207565426826477,1.3239624541793347,0.6900785565376282,0.3538728952407837
4,0.5639057,1.2137095463517,0.7269385,0.3898218,0.5196573138237,1.3295136549760822,0.6911661624908447,0.3531034290790558
